#catalog	Pathway	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6
map04928	"Parathyroid hormone synthesis, secretion and action"	0	0	47	15	1	0	71	193	2	77	21	39	2	79	98	8	17	27	114	54	38	148	56	24
map04929	GnRH secretion	0	0	2	7	0	2	12	64	0	11	0	10	0	37	20	2	9	6	68	29	25	69	16	1
map04935	"Growth hormone synthesis, secretion and action"	0	0	40	11	1	1	67	192	2	65	19	34	2	69	64	6	26	83	147	62	43	146	55	18
map04933	AGE-RAGE signaling pathway in diabetic complications	0	0	2	15	0	0	6	78	0	24	7	19	0	28	48	5	7	17	65	39	27	65	12	9
map04712	Circadian rhythm - plant	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
map00253	Tetracycline biosynthesis	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
map04620	Toll-like receptor signaling pathway	0	0	0	21	0	2	1	18	0	8	0	8	0	0	25	0	0	30	19	12	15	18	6	0
map04623	Cytosolic DNA-sensing pathway	0	0	0	1	0	0	0	8	0	0	0	3	0	0	22	0	1	17	20	6	18	10	1	3
map04630	JAK-STAT signaling pathway	0	0	0	5	0	0	7	50	0	1	3	7	0	0	4	0	3	24	59	27	11	55	7	3
map04512	ECM-receptor interaction	0	0	0	10	0	2	6	71	0	20	0	2	0	16	30	7	14	20	132	40	19	134	14	8
map04514	Cell adhesion molecules	0	0	0	18	0	0	36	85	0	19	0	3	0	14	23	1	9	11	96	38	16	105	9	8
map04662	B cell receptor signaling pathway	0	0	0	10	0	0	0	23	0	8	0	15	0	0	23	1	0	13	16	6	11	14	6	0
map04664	Fc epsilon RI signaling pathway	0	0	0	11	0	0	5	18	0	12	0	15	0	0	15	0	5	14	23	8	9	10	9	0
map00062	Fatty acid elongation	0	0	0	1	0	0	6	26	0	2	1	13	0	6	1	0	2	5	23	3	4	31	4	0
map04670	Leukocyte transendothelial migration	0	0	0	50	0	2	10	47	0	10	0	23	0	0	24	4	2	8	84	19	13	77	13	10
map04672	Intestinal immune network for IgA production	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
map00073	"Cutin, suberine and wax biosynthesis"	0	0	0	2	0	0	0	6	0	0	0	4	0	0	0	0	0	2	5	0	0	1	0	0
map01056	Biosynthesis of type II polyketide backbone	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
map05310	Asthma	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
map05320	Autoimmune thyroid disease	0	0	0	6	0	0	5	12	0	0	0	0	0	0	11	1	4	6	19	13	0	14	3	1
map05332	Graft-versus-host disease	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0
map05330	Allograft rejection	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
map05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	0	0	0	17	0	0	2	35	0	1	0	14	0	0	18	0	2	29	55	22	24	62	6	2
map00904	Diterpenoid biosynthesis	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
map00902	Monoterpenoid biosynthesis	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
map04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5	0	0
map04075	Plant hormone signal transduction	0	0	0	24	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
map00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	1	0	0	5	20	0	7	0	0	1	0	4	0	2	0	35	5	0	19	9	7
map00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0	0	0	1	0	0	7	44	0	15	3	0	0	6	7	0	13	1	41	12	9	42	5	1
map04950	Maturity onset diabetes of the young	0	0	0	0	0	0	20	43	0	8	7	8	0	0	29	2	9	0	29	21	17	45	4	6
map04711	Circadian rhythm - fly	0	0	0	0	0	0	1	20	0	11	0	5	0	1	2	0	3	0	7	0	3	20	6	0
map04977	Vitamin digestion and absorption	0	0	0	0	0	0	3	50	0	31	0	0	0	0	2	1	4	0	60	15	9	50	18	0
map00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	4	12	9	0	3	0	0	1	8	0	6	4	21	11	18	27	3	3
map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	1	48	0	0	0	5	0	0	1	1	5	2	36	0	14	49	1	0
map00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	5	0	2	0	7	0	0	0	0	0	0	14	2	1	4	0	0
